raceId,avgDriverLapStop,avgDriverPSTime,avgDriverStops,pitsWeightedSum
421,,,,
422,,,,
423,,,,
424,,,,
425,,,,
426,,,,
427,,,,
428,,,,
429,,,,
430,,,,
431,,,,
432,,,,
433,,,,
434,,,,
435,,,,
436,,,,
437,,,,
438,,,,
439,,,,
440,,,,
441,,,,
442,,,,
443,,,,
444,,,,
445,,,,
446,,,,
447,,,,
448,,,,
449,,,,
450,,,,
451,,,,
452,,,,
453,,,,
454,,,,
455,,,,
456,,,,
457,,,,
458,,,,
459,,,,
460,,,,
461,,,,
462,,,,
463,,,,
464,,,,
465,,,,
466,,,,
467,,,,
468,,,,
469,,,,
470,,,,
471,,,,
472,,,,
473,,,,
474,,,,
475,,,,
476,,,,
477,,,,
478,,,,
479,,,,
480,,,,
481,,,,
482,,,,
483,,,,
484,,,,
485,,,,
486,,,,
487,,,,
488,,,,
489,,,,
490,,,,
491,,,,
492,,,,
493,,,,
494,,,,
495,,,,
496,,,,
497,,,,
498,,,,
499,,,,
500,,,,
501,,,,
502,,,,
503,,,,
504,,,,
505,,,,
506,,,,
507,,,,
508,,,,
509,,,,
510,,,,
511,,,,
512,,,,
513,,,,
514,,,,
515,,,,
516,,,,
517,,,,
518,,,,
519,,,,
520,,,,
521,,,,
522,,,,
523,,,,
524,,,,
525,,,,
526,,,,
527,,,,
528,,,,
529,,,,
530,,,,
531,,,,
532,,,,
533,,,,
534,,,,
535,,,,
536,,,,
537,,,,
538,,,,
539,,,,
540,,,,
541,,,,
542,,,,
543,,,,
544,,,,
545,,,,
546,,,,
547,,,,
548,,,,
549,,,,
550,,,,
551,34.96666666666667,29316.61111111112,1.5,2.397989933028298
552,,,,
553,28.46923076923077,29849.207692307693,1.437179487179487,2.121440957354367
554,29.42163561076604,34787.684782608696,1.510973084886128,1.5479122617337095
555,31.255650037792893,32335.823129251705,1.502286470143613,1.8792017130008194
556,31.56272727272728,35737.85124098124,1.4563582251082252,2.298006928390751
557,30.81166056166056,37059.28795278796,1.431700244200244,2.4100565968281202
558,28.74038239538239,38345.5185518648,1.4223240648240645,2.21827027147777
559,30.48949689199689,38525.8812480575,1.4721474358974358,1.998079771320258
560,29.336727286554275,38699.87578649724,1.4852684800781686,1.7330770753768008
561,28.71521864379007,37923.22653873904,1.4493785315213887,1.9784964255641422
562,28.52958220849264,35891.80765214435,1.4623038614683,1.8567631855806837
563,29.035784020159745,36068.15881707097,1.5169005798510566,1.4355778405336288
564,27.751546224130543,35891.17323264916,1.4768126114195042,1.6287206983430118
565,27.331052707975783,36238.58877361954,1.3692444307828924,2.526506754116267
566,30.289053635134835,52599.04243467964,1.4441743154485271,2.105406133978238
567,29.32118010256969,41250.56049209842,1.5124832810845397,1.4687611073212854
568,28.57521016823468,41329.76102537663,1.5399791321805842,1.1289406903920787
569,28.516576335358305,36234.47462905912,1.5100286020041174,1.428895953223263
570,28.890490654368183,38192.0696640523,1.533530434413935,1.2520992356025793
571,29.824615384615385,36438.0587912088,1.3423076923076924,3.0821959691370315
572,29.9774581538592,36612.61115982825,1.4950966400616768,1.744778887592244
573,29.416234567413,39238.03728673724,1.583946489180082,0.8633766750212064
574,29.53561748545406,38774.304659221045,1.4815962038696724,1.7904388083801104
575,29.29115720264929,40387.27621030414,1.485931009950941,1.707562377644124
576,28.63401193401193,42853.263727126665,1.496013373072197,1.5140228231999768
577,28.65133611423833,40265.75872588736,1.5209103229952698,1.3165463681891432
578,30.29015068583673,40603.50101685357,1.5783702420101902,1.0132359398744744
579,28.895615523628155,38354.50742805369,1.5708868810901258,0.9200073085262543
580,29.845592703016177,39127.57438066995,1.5644795593827427,1.0918016561223112
581,29.159007789908312,37799.23704269269,1.5558627564305216,1.0914712584365598
582,30.00884006742056,36259.65604622039,1.575799787393721,1.0357002217854778
583,29.787317603024192,36229.31016421571,1.585470939929731,0.9218677095471384
584,29.7553599779832,36717.52464241277,1.5108365723800867,1.5759246480276035
585,29.32149011068596,37950.38568368275,1.4803484705618266,1.7809187259587558
586,30.309336750504475,36681.486026554216,1.5347075146985816,1.4351684704466932
